time_s,pwave_sw_us,pwave_aic_us,Vp_sw_km,Vp_aic_km
788.149,27.925,27.875,7.3619631901840465,7.389162561576352
791.324,27.8,27.8,7.43034055727554,7.43034055727554
794.457,27.875,27.775,7.389162561576352,7.444168734491314
797.593,27.95,27.775,7.348438456827923,7.444168734491314
800.765,27.925,27.725,7.3619631901840465,7.471980074719798
803.933,27.875,27.75,7.389162561576352,7.4580484773151
807.067,27.8,27.725,7.43034055727554,7.471980074719798
810.191,27.925,27.65,7.3619631901840465,7.514088916718847
813.259,27.8,27.725,7.43034055727554,7.471980074719798
816.319,27.85,27.75,7.402837754472546,7.4580484773151
819.467,27.8,27.65,7.43034055727554,7.514088916718847
822.588,27.8,27.65,7.43034055727554,7.514088916718847
825.719,27.725,27.7,7.471980074719798,7.4859638178415455
828.881,27.725,27.55,7.471980074719798,7.57097791798107
832.044,27.675,27.675,7.499999999999997,7.499999999999997
835.197,27.75,27.6,7.4580484773151,7.542426147077307
838.369,27.775,27.7,7.444168734491314,7.4859638178415455
841.505,27.725,27.625,7.471980074719798,7.528230865746548
844.553,27.65,27.55,7.514088916718847,7.57097791798107
847.664,27.65,27.6,7.514088916718847,7.542426147077307
850.825,27.8,27.625,7.43034055727554,7.528230865746548
853.956,27.6,27.525,7.542426147077307,7.585335018963336
857.022,27.7,27.525,7.4859638178415455,7.585335018963336
860.064,27.65,27.675,7.514088916718847,7.499999999999997
863.141,27.625,27.55,7.528230865746548,7.57097791798107
866.195,27.575,27.55,7.55667506297229,7.57097791798107
869.267,27.675,27.525,7.499999999999997,7.585335018963336
872.406,27.6,27.6,7.542426147077307,7.542426147077307
875.561,27.55,27.45,7.57097791798107,7.628734901462172
878.695,27.525,27.475,7.585335018963336,7.614213197969541
881.841,27.575,27.375,7.55667506297229,7.672634271099742
885.049,27.525,27.4,7.585335018963336,7.657945118059986
888.182,27.575,27.45,7.55667506297229,7.628734901462172
891.289,27.525,27.35,7.585335018963336,7.687379884689299
894.462,27.5,27.325,7.599746675110827,7.7021822849807435
897.592,27.55,27.475,7.57097791798107,7.614213197969541
900.708,27.525,27.4,7.585335018963336,7.657945118059986
903.891,27.525,27.45,7.585335018963336,7.628734901462172
907.016,27.575,27.4,7.55667506297229,7.657945118059986
910.092,27.625,27.375,7.528230865746548,7.672634271099742
913.245,27.45,27.325,7.628734901462172,7.7021822849807435
916.392,27.45,27.35,7.628734901462172,7.687379884689299
919.532,27.5,27.375,7.599746675110827,7.672634271099742
922.703,27.45,27.35,7.628734901462172,7.687379884689299
925.872,27.425,27.275,7.6433121019108246,7.731958762886595
929.022,27.45,27.275,7.628734901462172,7.731958762886595
932.167,27.425,27.3,7.6433121019108246,7.717041800643083
935.313,27.375,27.45,7.672634271099742,7.628734901462172
938.465,27.375,27.225,7.672634271099742,7.761966364812416
941.635,27.5,27.275,7.599746675110827,7.731958762886595
944.742,27.45,27.35,7.628734901462172,7.687379884689299
947.765,27.325,27.3,7.7021822849807435,7.717041800643083
950.806,27.425,27.3,7.6433121019108246,7.717041800643083
953.889,27.35,27.275,7.687379884689299,7.731958762886595
957.045,27.325,27.25,7.7021822849807435,7.746933505487409
960.197,27.275,27.15,7.731958762886595,7.8074170461938825
963.306,27.45,27.35,7.628734901462172,7.687379884689299
966.46,27.4,27.3,7.657945118059986,7.717041800643083
969.569,27.4,27.3,7.657945118059986,7.717041800643083
972.641,27.375,27.25,7.672634271099742,7.746933505487409
975.806,27.375,27.175,7.672634271099742,7.7922077922077895
978.946,27.325,27.225,7.7021822849807435,7.761966364812416
982.102,27.3,27.275,7.717041800643083,7.731958762886595
985.297,27.325,27.225,7.7021822849807435,7.761966364812416
988.432,27.3,27.1,7.717041800643083,7.838014369693007
991.581,27.475,27.175,7.614213197969541,7.7922077922077895
994.717,27.375,27.25,7.672634271099742,7.746933505487409
997.776,27.25,27.15,7.746933505487409,7.8074170461938825
1000.83,27.225,27.15,7.761966364812416,7.8074170461938825
1003.91,27.2,27.15,7.777057679844457,7.8074170461938825
1006.97,27.35,27.175,7.687379884689299,7.7922077922077895
1010.03,27.3,27.175,7.717041800643083,7.7922077922077895
1013.06,27.3,27.175,7.717041800643083,7.7922077922077895
1016.11,27.35,27.2,7.687379884689299,7.777057679844457
1019.24,27.375,27.225,7.672634271099742,7.761966364812416
1022.45,27.3,27.2,7.717041800643083,7.777057679844457
1025.61,27.4,27.275,7.657945118059986,7.731958762886595
1028.66,27.3,27.125,7.717041800643083,7.822685788787481
1031.7,27.275,27.15,7.731958762886595,7.8074170461938825
1034.75,27.3,27.15,7.717041800643083,7.8074170461938825
1037.78,27.3,27.225,7.717041800643083,7.761966364812416
1040.85,27.175,27.125,7.7922077922077895,7.822685788787481
1043.98,27.3,27.175,7.717041800643083,7.7922077922077895
1047.11,27.3,27.125,7.717041800643083,7.822685788787481
1050.21,27.225,27.125,7.761966364812416,7.822685788787481
