C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\04-15-hits-zhenlingshu.TXT
Express-8 (r) Location Version 
Version V5.94

4/15/2026, 17:03:41

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           27.3499850   2     1     2     0         4  53  31.060E+00
  1           27.3500095   6     1     8     1        47  52 232.477E+00
  1           27.3880125   3     1     1     0         1  45   0.000E+00
  1           27.4460330   1     1    18     4       172  57   1.064E+03
  1           27.4460375   3    13    18     5       175  60   1.494E+03
  1           27.4460550   2     1     2     0         7  54  81.137E+00
  1           27.4460675   6     1    15     2        84  54 455.531E+00
  1           29.8539390   1     1    13     2        46  55 566.290E+00
  1           29.8539435   3     9    16     4       172  59 967.722E+00
  1           29.8539610   2     1     2     0         4  52  27.841E+00
  1           29.8539855   6     1     7     1        44  52 223.190E+00
  1           29.9500050   1     9    17     4       169  57   1.031E+03
  1           29.9500065   3    13    18     5       175  60   1.488E+03
  1           29.9500240   2     1     3     0         7  54  83.974E+00
  1           29.9500455   6     1    12     2        72  53 415.860E+00
  1           30.0457720   1    12    14     3       129  55 641.681E+00
  1           30.0457735   3     9    16     4       172  58 962.969E+00
  1           30.0457910   2     1     2     0         4  54  46.758E+00
  1           30.0458125   6     1     9     1        47  52 236.451E+00
  1           30.1414880   1    32    18     4       132  57   1.012E+03
  1           30.1414925   3     9    17     5       175  60   1.486E+03
  1           30.1415100   2     1     3     0         7  56 105.078E+00
  1           30.1415225   6    40    13     2       102  54 476.832E+00
  1           30.2373360   1    32    13     2        48  55 575.911E+00
  1           30.2373405   3     9    16     4       168  59 959.352E+00
  1           30.2373580   2     1     2     0         9  53  97.565E+00
  1           30.2373825   6    25     9     1        44  52 220.388E+00
  1           30.3331350   1     9    17     4       169  57   1.033E+03
  1           30.3331365   3    13    18     5       175  60   1.489E+03
  1           30.3331540   2     1     3     0         7  54 101.941E+00
