C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
C:\Users\USER\Desktop\all tests\Wang-04-15\1\1-hits.TXT
Express-8 (r) Location Version 
Version V5.94

4/20/2026, 12:13:47

128            0.0000000		Acquisition Running
 ID     SSSSSSSS.mmmuuun  CH  RISE  COUN  ENER  DURATION AMP  ABS-ENERGY
  1           21.6480055   3     1     4     0        44  50  56.258E+00
  1           21.6480135   1     1     7     0        39  47 103.315E+00
  1           21.7438605   1     1     6     0         4  47   9.087E+00
  1           21.8397155   1     1     9     1        47  50 150.559E+00
  1           21.8397155   3     1     3     0        47  47  60.850E+00
  1           24.3119225   3     1     2     0         1  45   0.000E+00
  1           24.3119535   1     1     2     0        10  46  16.660E+00
  1           24.4087835   3     1     4     0        47  48  66.209E+00
  1           24.4087865   1     1     8     0        21  49  71.697E+00
  1           24.5045345   1     1     7     0         7  47  19.309E+00
  1           24.6002935   1     1     9     0        24  49  80.761E+00
  1           24.6961035   1     1     6     0         7  47  20.745E+00
  1           24.7919405   3     1     4     0        47  47  58.573E+00
  1           24.7919435   1     1     8     1        47  49 142.115E+00
  1           24.8880685   1     1     7     0         7  47  21.396E+00
  1           24.9838105   1     1     9     1        47  49 145.048E+00
  1           24.9838105   3     1     4     0        62  47  84.257E+00
  1           27.4658435   1     1     7     0         7  47  18.754E+00
  1           27.5634765   1     1     9     1        50  49 156.100E+00
  1           27.5634795   3     1     5     0        62  47  82.010E+00
  1           27.6595535   3     1     3     0         4  46   7.403E+00
  1           27.6595595   1     1     5     0        38  47  72.206E+00
  1           27.7553235   1     1     9     0        41  49 119.683E+00
  1           27.7553235   3     1     4     0        41  48  44.631E+00
  1           27.8510455   1     1     6     0         7  47  18.858E+00
  1           27.8511035   3     1     1     0         1  45   0.000E+00
  1           27.9468625   1     1    10     1        50  49 156.991E+00
  1           27.9468685   3     1     3     0        59  48  78.695E+00
  1           28.0435135   3     1     3     0         1  45   0.000E+00
  1           28.1395705   1     1     8     0        21  49  72.598E+00
  1           28.1396135   3     1     2     0         1  46   0.000E+00
  1           30.6515155   3     1     5     0        10  48  29.580E+00
  1           30.6515215   1     1     8     0        44  49 124.462E+00
  1           30.7475565   1     1     6     0         7  47  19.346E+00
  1           30.7475565   3     1     2     0         1  45   0.000E+00
  1           30.8432925   1     1    10     1        50  49 156.075E+00
  1           30.8432955   3     1     4     0        62  47  83.537E+00
  1           30.9390875   3     1     3     0         1  46   0.000E+00
  1           30.9391305   1     1     1     0         1  45   0.000E+00
  1           31.0349195   1     1     9     0        21  49  72.470E+00
  1           31.0349195   3     1     3     0        44  48  50.980E+00
  1           31.1307395   1     1     6     0         4  47  11.088E+00
  1           31.1307395   3     1     2     0         1  45   0.000E+00
  1           31.2268325   1     1     9     0        30  49  99.409E+00
  1           31.2268385   3     1     4     0        41  48  43.468E+00
  1           33.6378835   3     1     2     0         1  46   0.000E+00
  1           33.6378865   1     1     5     0        38  47  72.101E+00
  1           33.7347415   3     1     4     0        47  48  62.327E+00
  1           33.7347475   1     1     8     1        44  50 128.652E+00
  1           33.8305155   1     1     5     0         4  47   9.149E+00
  1           33.8563430   6     1     1     0         1  48   0.000E+00
  1           33.8563450   5     1     2     0         1  47   0.000E+00
  1           33.9262315   3     1     4     0         4  48  12.162E+00
  1           33.9262425   1     1     7     0        36  48  98.632E+00
  1           34.0221375   1     1     6     0         4  47   9.307E+00
  1           34.1179225   1     1    10     1        50  49 159.108E+00
  1           34.1179255   3     1     4     0        62  49  90.863E+00
  1           34.2140295   1     1     6     0         4  47  10.178E+00
